survived,pclass,age,sibsp,parch,fare,adult_male,alone,embarked_Q,embarked_S,class_Second,age_fare_ratio
0,3,22.0,1,0,7.25,1,0,0,1,0,2.6666666666666665
1,1,38.0,1,0,65.6563,0,0,0,0,0,0.5700886487848861
1,3,26.0,0,0,7.925,0,1,0,1,0,2.9131652661064424
1,1,35.0,1,0,53.1,0,0,0,1,0,0.6469500924214417
0,3,35.0,0,0,8.05,1,1,0,1,0,3.867403314917127
0,3,28.0,0,0,8.4583,1,1,1,0,0,2.960362855904338
0,1,54.0,0,0,51.8625,1,1,0,1,0,1.0215180893828328
0,3,2.5,3,1,21.075,0,0,0,1,0,0.11325028312570781
1,3,27.0,0,2,11.1333,0,0,0,1,0,2.2252808386836227
1,2,14.0,1,0,30.0708,0,0,0,0,1,0.4505838279027254
1,3,4.0,1,1,16.7,0,0,0,1,0,0.22598870056497175
1,1,54.5,0,0,26.55,0,1,0,1,0,1.9782214156079854
0,3,20.0,0,0,8.05,1,1,0,1,0,2.209944751381215
0,3,39.0,1,5,31.275,1,0,0,1,0,1.2083656080557708
0,3,14.0,0,0,7.8542,0,1,0,1,0,1.5811705179462856
1,2,54.5,0,0,16.0,0,1,0,1,1,3.2058823529411766
0,3,2.5,4,1,29.125,0,0,1,0,0,0.08298755186721991
1,2,28.0,0,0,13.0,1,1,0,1,1,2.0
0,3,31.0,1,0,18.0,0,0,0,1,0,1.631578947368421
1,3,28.0,0,0,7.225,0,1,0,0,0,3.404255319148936
0,2,35.0,0,0,26.0,1,1,0,1,1,1.2962962962962963
1,2,34.0,0,0,13.0,1,1,0,1,1,2.4285714285714284
1,3,15.0,0,0,8.0292,0,1,1,0,0,1.6612767465556197
1,1,28.0,0,0,35.5,1,1,0,1,0,0.7671232876712328
0,3,8.0,3,1,21.075,0,0,0,1,0,0.36240090600226504
1,3,38.0,1,5,31.3875,0,0,0,1,0,1.1732921651871864
0,3,28.0,0,0,7.225,1,1,0,0,0,3.404255319148936
0,1,19.0,3,2,65.6563,1,0,0,1,0,0.28504432439244304
1,3,28.0,0,0,7.8792,0,1,1,0,0,3.1534372465987923
0,3,28.0,0,0,7.8958,1,1,0,1,0,3.147552777715326
0,1,40.0,0,0,27.7208,1,1,0,0,0,1.3927188657697558
1,1,28.0,1,0,65.6563,0,0,0,0,0,0.4200653201572844
1,3,28.0,0,0,7.75,0,1,1,0,0,3.2
0,2,54.5,0,0,10.5,1,1,0,1,1,4.739130434782608
0,1,28.0,1,0,65.6563,1,0,0,0,0,0.4200653201572844
0,1,42.0,1,0,52.0,1,0,0,1,0,0.7924528301886793
1,3,28.0,0,0,7.2292,1,1,0,0,0,3.4025178632187822
0,3,21.0,0,0,8.05,1,1,0,1,0,2.320441988950276
0,3,18.0,2,0,18.0,0,0,0,1,0,0.9473684210526315
1,3,14.0,1,0,11.2417,0,0,0,0,0,1.1436320118937728
0,3,40.0,1,0,9.475,0,0,0,1,0,3.8186157517899764
0,2,27.0,1,0,21.0,0,0,0,1,1,1.2272727272727273
0,3,28.0,0,0,7.8958,1,1,0,0,0,3.147552777715326
1,2,3.0,1,2,41.5792,0,0,0,0,1,0.07045693672027657
1,3,19.0,0,0,7.8792,0,1,1,0,0,2.139832417334895
0,3,28.0,0,0,8.05,1,1,0,1,0,3.0939226519337013
0,3,28.0,1,0,15.5,1,0,1,0,0,1.696969696969697
1,3,28.0,0,0,7.75,0,1,1,0,0,3.2
0,3,28.0,2,0,21.6792,1,0,0,0,0,1.2346114501393346
0,3,18.0,1,0,17.8,0,0,0,1,0,0.9574468085106382
0,3,7.0,4,1,39.6875,0,0,0,1,0,0.17204301075268819
0,3,21.0,0,0,7.8,1,1,0,1,0,2.3863636363636362
1,1,49.0,1,0,65.6563,0,0,0,0,0,0.7351143102752478
1,2,29.0,1,0,26.0,0,0,0,1,1,1.0740740740740742
0,1,54.5,0,1,61.9792,1,0,0,0,0,0.8653650729129617
1,1,28.0,0,0,35.5,1,1,0,1,0,0.7671232876712328
1,2,21.0,0,0,10.5,0,1,0,1,1,1.826086956521739
0,3,28.5,0,0,7.2292,1,1,0,0,0,3.4632771107762608
1,2,5.0,1,2,27.75,0,0,0,1,1,0.17391304347826086
0,3,11.0,5,2,46.9,0,0,0,1,0,0.22964509394572025
0,3,22.0,0,0,7.2292,1,1,0,0,0,2.6734068925290435
0,1,45.0,1,0,65.6563,1,0,0,1,0,0.6751049788242072
0,3,4.0,3,2,27.9,0,0,0,1,0,0.1384083044982699
0,1,28.0,0,0,27.7208,1,1,0,0,0,0.974903206038829
1,3,28.0,1,1,15.2458,1,0,0,0,0,1.723522387324724
1,2,29.0,0,0,10.5,0,1,0,1,1,2.5217391304347827
0,3,19.0,0,0,8.1583,1,1,0,1,0,2.074620835744625
1,3,17.0,4,2,7.925,0,0,0,1,0,1.9047619047619047
0,3,26.0,2,0,8.6625,1,0,0,1,0,2.690815006468305
0,2,32.0,0,0,10.5,1,1,0,1,1,2.782608695652174
0,3,16.0,5,2,46.9,0,0,0,1,0,0.33402922755741127
0,2,21.0,0,0,65.6563,1,1,0,1,1,0.31504899011796333
0,3,26.0,1,0,14.4542,1,0,0,0,0,1.6823905475534158
1,3,32.0,0,0,56.4958,1,1,0,1,0,0.5565623923834436
0,3,25.0,0,0,7.65,1,1,0,1,0,2.890173410404624
0,3,28.0,0,0,7.8958,1,1,0,1,0,3.147552777715326
0,3,28.0,0,0,8.05,1,1,0,1,0,3.0939226519337013
1,2,2.5,0,2,29.0,0,0,0,1,1,0.08333333333333333
1,3,30.0,0,0,12.475,0,1,0,1,0,2.226345083487941
0,3,22.0,0,0,9.0,1,1,0,1,0,2.2
1,3,29.0,0,0,9.5,1,1,0,1,0,2.761904761904762
1,3,28.0,0,0,7.7875,0,1,1,0,0,3.186344238975818
0,1,28.0,0,0,47.1,1,1,0,1,0,0.5821205821205822
1,2,17.0,0,0,10.5,0,1,0,1,1,1.4782608695652173
1,3,33.0,3,0,15.85,0,0,0,1,0,1.9584569732937684
0,3,16.0,1,3,34.375,1,0,0,1,0,0.45229681978798586
0,3,28.0,0,0,8.05,1,1,0,1,0,3.0939226519337013
1,1,23.0,3,2,65.6563,0,0,0,1,0,0.34505365584348363
0,3,24.0,0,0,8.05,1,1,0,1,0,2.6519337016574585
0,3,29.0,0,0,8.05,1,1,0,1,0,3.2044198895027622
0,3,20.0,0,0,7.8542,1,1,0,1,0,2.258815025637551
0,1,46.0,1,0,61.175,1,0,0,1,0,0.7398472054684359
0,3,26.0,1,2,20.575,1,0,0,1,0,1.205098493626883
0,3,54.5,0,0,7.25,1,1,0,1,0,6.606060606060606
0,3,28.0,0,0,8.05,1,1,0,1,0,3.0939226519337013
0,1,54.5,0,0,34.6542,1,1,0,0,0,1.5285716689758848
1,1,23.0,0,1,63.3583,1,0,0,0,0,0.3573742625271333
1,2,34.0,0,1,23.0,0,0,0,1,1,1.4166666666666667
0,2,34.0,1,0,26.0,1,0,0,1,1,1.2592592592592593
0,3,28.0,0,0,7.8958,0,1,0,1,0,3.147552777715326
0,3,28.0,0,0,7.8958,1,1,0,1,0,3.147552777715326
0,1,21.0,0,1,65.6563,1,0,0,1,0,0.31504899011796333
0,3,33.0,0,0,8.6542,1,1,0,1,0,3.418201404570032
0,3,37.0,2,0,7.925,1,0,0,1,0,4.145658263305322
0,3,28.0,0,0,7.8958,1,1,0,1,0,3.147552777715326
1,3,21.0,0,0,7.65,0,1,0,1,0,2.4277456647398843
1,3,28.0,0,0,7.775,1,1,0,1,0,3.190883190883191
0,3,38.0,0,0,7.8958,1,1,0,1,0,4.271678769756513
1,3,28.0,1,0,24.15,0,0,1,0,0,1.1133200795228628
0,1,47.0,0,0,52.0,1,1,0,1,0,0.8867924528301887
0,3,14.5,1,0,14.4542,0,0,0,0,0,0.9382562669047896
0,3,22.0,0,0,8.05,1,1,0,1,0,2.430939226519337
0,3,20.0,1,0,9.825,0,0,0,1,0,1.8475750577367207
0,3,17.0,0,0,14.4583,0,1,0,0,0,1.0997328296125706
0,3,21.0,0,0,7.925,1,1,0,1,0,2.352941176470588
0,3,54.5,0,0,7.75,1,1,1,0,0,6.228571428571429
0,2,29.0,1,0,21.0,1,0,0,1,1,1.3181818181818181
0,1,24.0,0,1,65.6563,1,0,0,0,0,0.36005598870624383
0,3,2.5,4,2,31.275,0,0,0,1,0,0.07745933384972889
0,2,21.0,2,0,65.6563,1,0,0,1,1,0.31504899011796333
0,3,28.0,0,0,8.05,1,1,0,1,0,3.0939226519337013
0,2,32.5,1,0,30.0708,1,0,0,0,1,1.045998171917041
1,2,32.5,0,0,13.0,0,1,0,1,1,2.3214285714285716
0,1,54.0,0,1,65.6563,1,0,0,1,0,0.8101259745890486
1,3,12.0,1,0,11.2417,0,0,0,0,0,0.9802560101946626
0,3,28.0,0,0,7.75,1,1,1,0,0,3.2
1,3,24.0,0,0,7.1417,1,1,0,1,0,2.947787317145068
1,3,28.0,1,1,22.3583,0,0,0,0,0,1.1987173724115197
0,3,45.0,0,0,6.975,1,1,0,1,0,5.6426332288401255
0,3,33.0,0,0,7.8958,1,1,0,0,0,3.7096157737359197
0,3,20.0,0,0,7.05,1,1,0,1,0,2.484472049689441
0,3,47.0,1,0,14.5,0,0,0,1,0,3.032258064516129
1,2,29.0,1,0,26.0,0,0,0,1,1,1.0740740740740742
0,2,25.0,0,0,13.0,1,1,0,1,1,1.7857142857142858
0,2,23.0,0,0,15.0458,1,1,0,0,1,1.433396901369829
1,1,19.0,0,2,26.2833,0,0,0,1,0,0.6963966968805093
0,1,37.0,1,0,53.1,1,0,0,1,0,0.6839186691312384
0,3,16.0,0,0,9.2167,1,1,0,1,0,1.56606340599215
0,1,24.0,0,0,65.6563,1,1,0,0,0,0.36005598870624383
0,3,28.0,0,2,15.2458,0,0,0,0,0,1.723522387324724
1,3,22.0,0,0,7.75,0,1,0,1,0,2.5142857142857142
1,3,24.0,1,0,15.85,0,0,0,1,0,1.4243323442136497
0,3,19.0,0,0,6.75,1,1,1,0,0,2.4516129032258065
0,2,18.0,0,0,11.5,1,1,0,1,1,1.44
0,2,19.0,1,1,36.75,1,0,0,1,1,0.5033112582781457
1,3,27.0,0,0,7.7958,1,1,0,1,0,3.0696468769185294
0,3,9.0,2,2,34.375,0,0,0,1,0,0.254416961130742
0,2,36.5,0,2,26.0,1,0,0,1,1,1.3518518518518519
0,2,42.0,0,0,13.0,1,1,0,1,1,3.0
0,2,51.0,0,0,12.525,1,1,0,1,1,3.7707948243992604
1,1,22.0,1,0,65.6563,0,0,0,1,0,0.3300513229807235
0,3,54.5,0,0,8.05,1,1,0,1,0,6.022099447513812
0,3,40.5,0,2,14.5,1,0,0,1,0,2.6129032258064515
0,3,28.0,0,0,7.3125,1,1,0,1,0,3.3684210526315788
0,1,51.0,0,1,61.3792,1,0,0,0,0,0.8175802190473748
1,3,16.0,0,0,7.7333,0,1,1,0,0,1.8320680613284783
0,3,30.0,0,0,8.05,1,1,0,1,0,3.3149171270718227
0,3,28.0,0,0,8.6625,1,1,0,1,0,2.8978007761966365
0,3,28.0,8,2,65.6563,1,0,0,1,0,0.4200653201572844
0,3,44.0,0,1,16.1,1,0,0,1,0,2.573099415204678
1,2,40.0,0,0,15.75,0,1,0,1,1,2.388059701492537
0,3,26.0,0,0,7.775,1,1,0,1,0,2.962962962962963
0,3,17.0,0,0,8.6625,1,1,0,1,0,1.7593790426908151
0,3,2.5,4,1,39.6875,0,0,0,1,0,0.06144393241167435
1,3,9.0,0,2,20.525,0,0,0,1,0,0.4181184668989547
1,1,28.0,0,1,55.0,0,0,0,1,0,0.5
0,3,45.0,1,4,27.9,0,0,0,1,0,1.5570934256055364
0,1,28.0,0,0,25.925,1,1,0,1,0,1.0399257195914577
0,3,28.0,0,0,56.4958,1,1,0,1,0,0.4869920933355132
0,1,54.5,0,0,33.5,1,1,0,1,0,1.5797101449275361
0,3,4.0,4,1,29.125,0,0,1,0,0,0.13278008298755187
1,3,2.5,1,1,11.1333,0,0,0,1,0,0.20604452210033544
0,3,21.0,0,0,7.925,1,1,0,1,0,2.352941176470588
0,1,54.5,0,0,30.6958,1,1,0,0,0,1.719470718517911
0,3,18.0,1,1,7.8542,1,0,0,1,0,2.0329335230737957
0,3,28.0,3,1,25.4667,1,0,0,1,0,1.057933176406579
0,1,50.0,0,0,28.7125,0,1,0,0,0,1.6827934371055953
0,2,30.0,0,0,13.0,1,1,0,1,1,2.142857142857143
0,3,36.0,0,0,0.0,1,1,0,1,0,36.0
0,3,28.0,8,2,65.6563,0,0,0,1,0,0.4200653201572844
0,2,28.0,0,0,15.05,1,1,0,0,1,1.7445482866043613
0,3,9.0,4,2,31.3875,0,0,0,1,0,0.277884986491702
1,2,2.5,2,1,39.0,0,0,0,1,1,0.0625
1,3,4.0,0,2,22.025,0,0,0,1,0,0.17372421281216072
0,1,28.0,0,0,50.0,1,1,0,1,0,0.5490196078431373
1,3,28.0,1,0,15.5,0,0,1,0,0,1.696969696969697
1,1,45.0,0,0,26.55,1,1,0,1,0,1.6333938294010888
0,3,40.0,1,1,15.5,1,0,1,0,0,2.4242424242424243
0,3,36.0,0,0,7.8958,1,1,0,1,0,4.046853571348276
1,2,32.0,0,0,13.0,0,1,0,1,1,2.2857142857142856
0,2,19.0,0,0,13.0,1,1,0,1,1,1.3571428571428572
1,3,19.0,1,0,7.8542,0,0,0,1,0,2.1458742743556734
1,2,3.0,1,1,26.0,0,0,0,1,1,0.1111111111111111
1,1,44.0,0,0,27.7208,0,1,0,0,0,1.5319907523467313
1,1,54.5,0,0,65.6563,0,1,0,0,0,0.8176271410204287
0,3,28.0,0,0,7.75,1,1,1,0,0,3.2
0,3,42.0,0,1,8.4042,1,0,0,1,0,4.466089619531699
1,3,28.0,0,0,7.75,0,1,1,0,0,3.2
0,2,24.0,0,0,13.0,0,1,0,1,1,1.7142857142857142
0,3,28.0,0,0,9.5,1,1,0,1,0,2.6666666666666665
0,3,28.0,8,2,65.6563,1,0,0,1,0,0.4200653201572844
0,3,34.0,0,0,6.4958,1,1,0,1,0,4.535873422449905
0,3,45.5,0,0,7.225,1,1,0,0,0,5.531914893617022
1,3,18.0,0,0,8.05,1,1,0,1,0,1.9889502762430937
0,3,2.5,0,1,10.4625,0,0,0,1,0,0.21810250817884405
0,3,32.0,1,0,15.85,1,0,0,1,0,1.8991097922848663
1,3,26.0,0,0,18.7875,1,1,0,0,0,1.31396083385976
1,3,16.0,0,0,7.75,0,1,1,0,0,1.8285714285714285
1,1,40.0,0,0,31.0,1,1,0,0,0,1.25
0,3,24.0,0,0,7.05,1,1,0,1,0,2.981366459627329
1,2,35.0,0,0,21.0,0,1,0,1,1,1.5909090909090908
0,3,22.0,0,0,7.25,1,1,0,1,0,2.6666666666666665
0,2,30.0,0,0,13.0,1,1,0,1,1,2.142857142857143
0,3,28.0,1,0,7.75,1,0,1,0,0,3.2
1,1,31.0,1,0,65.6563,0,0,0,0,0,0.4650723187455649
1,3,27.0,0,0,7.925,0,1,0,1,0,3.0252100840336134
0,2,42.0,1,0,27.0,1,0,0,1,1,1.5
1,1,32.0,0,0,65.6563,0,1,0,0,0,0.4800746516083251
0,2,30.0,0,0,10.5,1,1,0,1,1,2.608695652173913
1,3,16.0,0,0,8.05,1,1,0,1,0,1.7679558011049723
0,2,27.0,0,0,13.0,1,1,0,1,1,1.9285714285714286
0,3,51.0,0,0,8.05,1,1,0,1,0,5.635359116022099
0,3,28.0,0,0,7.8958,1,1,0,1,0,3.147552777715326
1,1,38.0,1,0,65.6563,1,0,0,1,0,0.5700886487848861
0,3,22.0,0,0,9.35,1,1,0,1,0,2.1256038647342996
1,2,19.0,0,0,10.5,1,1,0,1,1,1.6521739130434783
0,3,20.5,0,0,7.25,1,1,0,1,0,2.484848484848485
0,2,18.0,0,0,13.0,1,1,0,1,1,1.2857142857142858
0,3,28.0,3,1,25.4667,0,0,0,1,0,1.057933176406579
1,1,35.0,1,0,65.6563,0,0,0,1,0,0.5250816501966056
0,3,29.0,0,0,7.775,1,1,0,1,0,3.304843304843305
0,2,54.5,0,0,13.5,1,1,0,1,1,3.7586206896551726
1,3,5.0,4,2,31.3875,0,0,0,1,0,0.15438054805094556
0,2,24.0,0,0,10.5,1,1,0,1,1,2.0869565217391304
0,3,28.0,0,0,7.55,0,1,0,1,0,3.2748538011695905
0,2,44.0,1,0,26.0,1,0,0,1,1,1.6296296296296295
1,2,8.0,0,2,26.25,0,0,0,1,1,0.29357798165137616
0,2,19.0,0,0,10.5,1,1,0,1,1,1.6521739130434783
0,2,33.0,0,0,12.275,1,1,0,1,1,2.485875706214689
0,3,28.0,1,0,14.4542,0,0,0,0,0,1.8118052050575248
1,3,28.0,1,0,15.5,0,0,1,0,0,1.696969696969697
0,2,29.0,0,0,10.5,1,1,0,1,1,2.5217391304347827
0,3,22.0,0,0,7.125,1,1,0,1,0,2.707692307692308
0,3,30.0,0,0,7.225,1,1,0,0,0,3.6474164133738602
0,1,44.0,2,0,65.6563,1,0,1,0,0,0.660102645961447
0,3,25.0,0,0,7.775,0,1,0,1,0,2.849002849002849
1,2,24.0,0,2,14.5,0,0,0,1,1,1.5483870967741935
1,1,37.0,1,1,52.5542,1,0,0,1,0,0.6908888565229244
0,2,54.0,1,0,26.0,1,0,0,1,1,2.0
0,3,28.0,0,0,7.25,1,1,0,1,0,3.393939393939394
0,3,29.0,1,1,10.4625,0,0,0,1,0,2.529989094874591
0,1,54.5,0,0,26.55,1,1,0,1,0,1.9782214156079854
0,3,30.0,1,0,16.1,1,0,0,1,0,1.7543859649122806
0,3,41.0,0,2,20.2125,0,0,0,1,0,1.9328226281673542
1,3,29.0,0,2,15.2458,0,0,0,0,0,1.785076758300607
1,1,28.0,0,0,65.6563,0,1,0,0,0,0.4200653201572844
1,1,30.0,0,0,65.6563,0,1,0,1,0,0.4500699858828048
1,1,35.0,0,0,65.6563,0,1,0,0,0,0.5250816501966056
1,2,50.0,0,1,26.0,0,0,0,1,1,1.8518518518518519
0,3,28.0,0,0,7.75,1,1,1,0,0,3.2
1,3,3.0,4,2,31.3875,0,0,0,1,0,0.09262832883056735
0,1,52.0,1,1,65.6563,1,0,0,1,0,0.7801213088635283
0,1,40.0,0,0,0.0,1,1,0,1,0,40.0
0,3,28.0,0,0,7.75,0,1,1,0,0,3.2
0,2,36.0,0,0,10.5,1,1,0,1,1,3.130434782608696
0,3,16.0,4,1,39.6875,1,0,0,1,0,0.3932411674347158
1,3,25.0,1,0,7.775,1,0,0,1,0,2.849002849002849
1,1,54.5,0,1,65.6563,0,0,0,1,0,0.8176271410204287
1,1,35.0,0,0,65.6563,0,1,0,1,0,0.5250816501966056
0,1,28.0,0,0,31.0,1,1,0,1,0,0.875
1,3,25.0,0,0,0.0,1,1,0,1,0,25.0
1,2,41.0,0,1,19.5,0,0,0,1,1,2.0
0,1,37.0,0,1,29.7,1,0,0,0,0,1.205211726384365
1,3,28.0,0,0,7.75,0,1,1,0,0,3.2
1,1,54.5,1,0,65.6563,0,0,0,1,0,0.8176271410204287
0,3,45.0,0,0,7.75,0,1,0,1,0,5.142857142857143
0,2,28.0,0,0,0.0,1,1,0,1,1,28.0
0,3,7.0,4,1,29.125,0,0,1,0,0,0.23236514522821577
1,3,35.0,1,1,20.25,0,0,0,1,0,1.6470588235294117
0,3,54.5,0,0,7.75,1,1,1,0,0,6.228571428571429
0,3,28.0,0,0,7.8542,1,1,0,1,0,3.162341035892571
0,3,16.0,0,0,9.5,1,1,0,1,0,1.5238095238095237
1,3,19.0,0,0,8.05,1,1,0,1,0,2.0994475138121547
0,1,28.0,0,0,26.0,1,1,0,1,0,1.037037037037037
0,3,33.0,0,0,8.6625,1,1,0,0,0,3.4152652005174646
1,3,30.0,0,0,9.5,1,1,0,1,0,2.857142857142857
0,3,22.0,0,0,7.8958,1,1,0,1,0,2.4730771824906133
1,2,42.0,0,0,13.0,1,1,0,1,1,3.0
1,3,22.0,0,0,7.75,0,1,1,0,0,2.5142857142857142
1,1,26.0,0,0,65.6563,0,1,0,1,0,0.39006065443176413
1,1,19.0,1,0,65.6563,0,0,0,0,0,0.28504432439244304
0,2,36.0,0,0,12.875,1,1,0,0,1,2.5945945945945947
0,3,24.0,0,0,8.85,0,1,0,1,0,2.436548223350254
0,3,24.0,0,0,7.8958,1,1,0,1,0,2.6979023808988507
0,1,28.0,0,0,27.7208,1,1,0,0,0,0.974903206038829
